timeMillis,timeElapsed,pressure,alt,altV,predictedApogee,dragCoefCmd,dragAngle,flightState
4069,0,1021.9739,-0.0093,-309.6246,665.4279,0.7500,135.0000,1
4086,0,1021.9806,-0.0475,-309.9486,665.8072,0.7500,135.0000,1
4096,0,1021.9801,-0.0578,-310.0131,665.8799,0.7500,135.0000,1
4106,0,1021.9778,-0.0475,-309.9098,665.7572,0.7500,135.0000,1
4116,0,1021.9834,-0.0681,-310.1163,666.0024,0.7500,135.0000,1
4126,0,1021.9807,-0.0681,-310.1163,666.0024,0.7500,135.0000,1
4136,0,1021.9795,-0.0671,-310.1059,665.9901,0.7500,135.0000,1
4146,0,1021.9691,-0.0495,-309.9305,665.7817,0.7500,135.0000,1
4156,0,1021.9780,-0.0372,-309.8066,665.6346,0.7500,135.0000,1
4166,0,1021.9723,-0.0196,-309.6312,665.4260,0.7500,135.0000,1
4176,0,1021.9772,-0.0144,0.0451,-0.0143,0.7500,135.0000,1
4186,0,1021.9768,-0.0310,0.2039,-0.0288,0.7500,135.0000,1
4196,0,1021.9753,-0.0248,0.3303,-0.0192,0.7500,135.0000,1
4206,0,1021.9748,-0.0299,0.1754,-0.0284,0.7500,135.0000,1
4216,0,1021.9740,-0.0237,0.4438,-0.0137,0.7500,135.0000,1
4226,0,1021.9777,-0.0258,0.4232,-0.0167,0.7500,135.0000,1
4236,0,1021.9786,-0.0330,0.3406,-0.0271,0.7500,135.0000,1
4246,0,1021.9835,-0.0516,-0.0207,-0.0516,0.7500,135.0000,1
4256,0,1021.9811,-0.0661,-0.2890,-0.0618,0.7500,135.0000,1
4266,0,1021.9813,-0.0743,-0.5471,-0.0591,0.7500,135.0000,1
4276,0,1021.9760,-0.0691,-0.5471,-0.0539,0.7500,135.0000,1
4286,0,1021.9769,-0.0557,-0.2477,-0.0526,0.7500,135.0000,1
4296,0,1021.9776,-0.0485,-0.2374,-0.0456,0.7500,135.0000,1
4306,0,1021.9689,-0.0217,0.0826,-0.0213,0.7500,135.0000,1
4316,0,1021.9771,-0.0237,-0.0000,-0.0237,0.7500,135.0000,1
4326,0,1021.9734,-0.0165,0.0929,-0.0161,0.7500,135.0000,1
4336,0,1021.9706,-0.0021,0.3096,0.0028,0.7500,135.0000,1
4346,0,1021.9728,-0.0103,0.4129,-0.0016,0.7500,135.0000,1
4356,0,1021.9625,0.0206,0.8670,0.0590,0.7500,135.0000,1
4366,0,1021.9611,0.0470,1.2128,0.1219,0.7500,135.0000,1
4376,0,1021.9636,0.0619,1.3109,0.1495,0.7500,135.0000,1
4386,0,1021.9641,0.0795,1.3522,0.1726,0.7500,135.0000,1
4396,0,1021.9661,0.0722,1.2076,0.1466,0.7500,135.0000,1
4406,0,1021.9622,0.0697,0.9135,0.1122,0.7500,135.0000,1
4416,0,1021.9628,0.0717,0.9548,0.1182,0.7500,135.0000,1
4426,0,1021.9656,0.0686,0.8515,0.1056,0.7500,135.0000,1
4436,0,1021.9666,0.0676,0.6967,0.0923,0.7500,135.0000,1
4446,0,1021.9681,0.0552,0.6554,0.0771,0.7500,135.0000,1
4456,0,1021.9720,0.0361,0.1548,0.0373,0.7500,135.0000,1
4466,0,1021.9756,0.0150,-0.3200,0.0202,0.7500,135.0000,1
4476,0,1021.9822,-0.0186,-0.8051,0.0145,0.7500,135.0000,1
4486,0,1021.9714,-0.0248,-1.0425,0.0306,0.7500,135.0000,1
4496,0,1021.9737,-0.0279,-1.0012,0.0232,0.7500,135.0000,1
4506,0,1021.9745,-0.0258,-0.9548,0.0207,0.7500,135.0000,1
4516,0,1021.9639,0.0129,-0.5883,0.0305,0.7500,135.0000,1
4526,0,1021.9628,0.0315,-0.3716,0.0385,0.7500,135.0000,1
4536,0,1021.9647,0.0506,-0.1703,0.0521,0.7500,135.0000,1
4546,0,1021.9618,0.0774,0.2219,0.0799,0.7500,135.0000,1
4556,0,1021.9735,0.0568,0.2064,0.0589,0.7500,135.0000,1
4566,0,1021.9690,0.0444,0.2942,0.0488,0.7500,135.0000,1
4576,0,1021.9647,0.0444,0.6296,0.0646,0.7500,135.0000,1
4586,0,1021.9695,0.0279,0.5264,0.0420,0.7500,135.0000,1
4596,0,1021.9755,0.0237,0.5161,0.0373,0.7500,135.0000,1
4606,0,1021.9697,0.0222,0.4800,0.0339,0.7500,135.0000,1
4616,0,1021.9720,0.0072,-0.0568,0.0074,0.7500,135.0000,1
4626,0,1021.9803,-0.0165,-0.4800,-0.0048,0.7500,135.0000,1
4636,0,1021.9724,-0.0093,-0.5987,0.0090,0.7500,135.0000,1
4646,0,1021.9752,-0.0206,-0.9806,0.0284,0.7500,135.0000,1
4656,0,1021.9729,-0.0227,-0.7948,0.0095,0.7500,135.0000,1
4666,0,1021.9645,0.0114,-0.3303,0.0169,0.7500,135.0000,1
4676,0,1021.9603,0.0366,-0.0774,0.0369,0.7500,135.0000,1
4686,0,1021.9653,0.0578,0.2993,0.0624,0.7500,135.0000,1
4696,0,1021.9609,0.0831,0.5935,0.1010,0.7500,135.0000,1
4706,0,1021.9650,0.0821,0.5987,0.1003,0.7500,135.0000,1
4716,0,1021.9680,0.0661,0.5883,0.0837,0.7500,135.0000,1
4726,0,1021.9600,0.0774,0.9393,0.1224,0.7500,135.0000,1
4736,0,1021.9554,0.0888,0.9806,0.1378,0.7500,135.0000,1
4746,0,1021.9600,0.0991,1.1973,0.1721,0.7500,135.0000,1
4756,0,1021.9678,0.0996,1.2231,0.1758,0.7500,135.0000,1
4766,0,1021.9724,0.0733,0.6193,0.0928,0.7500,135.0000,1
4776,0,1021.9742,0.0335,-0.0310,0.0336,0.7500,135.0000,1
4786,0,1021.9688,0.0155,-0.4231,0.0246,0.7500,135.0000,1
4796,0,1021.9730,0.0041,-0.7896,0.0359,0.7500,135.0000,1
4806,0,1021.9686,0.0119,-0.7019,0.0370,0.7500,135.0000,1
4816,0,1021.9646,0.0320,-0.3406,0.0379,0.7500,135.0000,1
4826,0,1021.9629,0.0444,-0.3303,0.0499,0.7500,135.0000,1
4836,0,1021.9589,0.0738,-0.1496,0.0749,0.7500,135.0000,1
4846,0,1021.9603,0.0919,-0.0722,0.0921,0.7500,135.0000,1
4856,0,1021.9604,0.1006,0.0103,0.1006,0.7500,135.0000,1
4866,0,1021.9636,0.0991,0.2581,0.1025,0.7500,135.0000,1
4876,0,1021.9614,0.0939,0.6039,0.1125,0.7500,135.0000,1
4886,0,1021.9680,0.0784,0.6296,0.0986,0.7500,135.0000,1
4896,0,1021.9795,0.0382,0.3406,0.0441,0.7500,135.0000,1
4906,0,1021.9750,0.0139,0.0206,0.0140,0.7500,135.0000,1
4916,0,1021.9722,-0.0083,-0.4026,0.0000,0.7500,135.0000,1
4926,0,1021.9796,-0.0330,-0.7741,-0.0025,0.7500,135.0000,1
4936,0,1021.9712,-0.0155,-0.8929,0.0251,0.7500,135.0000,1
4946,0,1021.9749,-0.0155,-1.0735,0.0432,0.7500,135.0000,1
4956,0,1021.9698,-0.0103,-1.1096,0.0524,0.7500,135.0000,1
4966,0,1021.9706,0.0083,-0.9083,0.0503,0.7500,135.0000,1
4976,0,1021.9711,0.0083,-0.8567,0.0457,0.7500,135.0000,1
4986,0,1021.9684,0.0222,-0.5626,0.0383,0.7500,135.0000,1
4996,0,1021.9745,0.0124,-0.2581,0.0158,0.7500,135.0000,1
5006,0,1021.9703,0.0134,-0.0052,0.0134,0.7500,135.0000,1
5016,0,1021.9679,0.0206,0.2890,0.0249,0.7500,135.0000,1
5026,0,1021.9660,0.0258,0.5883,0.0434,0.7500,135.0000,1
5036,0,1021.9668,0.0423,0.5780,0.0593,0.7500,135.0000,1
5046,0,1021.9711,0.0403,0.5574,0.0561,0.7500,135.0000,1
5056,0,1021.9734,0.0279,0.3819,0.0353,0.7500,135.0000,1
5066,0,1021.9698,0.0201,0.1187,0.0208,0.7500,135.0000,1
5076,0,1021.9675,0.0186,0.1032,0.0191,0.7500,135.0000,1
5086,0,1021.9657,0.0299,0.0774,0.0302,0.7500,135.0000,1
5096,0,1021.9642,0.0490,0.3664,0.0559,0.7500,135.0000,1
5106,0,1021.9633,0.0630,0.4954,0.0755,0.7500,135.0000,1
5116,0,1021.9581,0.0831,0.6245,0.1030,0.7500,135.0000,1
5126,0,1021.9614,0.0919,0.6606,0.1141,0.7500,135.0000,1
5136,0,1021.9567,0.1084,0.6606,0.1306,0.7500,135.0000,1
5146,0,1021.9604,0.1146,0.7432,0.1427,0.7500,135.0000,1
5156,0,1021.9617,0.1063,0.7845,0.1377,0.7500,135.0000,1
5166,0,1021.9626,0.1032,0.8309,0.1384,0.7500,135.0000,1
5176,0,1021.9657,0.0836,0.6503,0.1052,0.7500,135.0000,1
5186,0,1021.9752,0.0526,0.2271,0.0553,0.7500,135.0000,1
5196,0,1021.9765,0.0212,-0.2787,0.0251,0.7500,135.0000,1
5206,0,1021.9761,-0.0083,-0.7122,0.0176,0.7500,135.0000,1
5216,0,1021.9774,-0.0320,-1.1509,0.0355,0.7500,135.0000,1
5226,0,1021.9698,-0.0206,-1.1251,0.0439,0.7500,135.0000,1
5236,0,1021.9643,0.0052,-1.0322,0.0595,0.7500,135.0000,1
5246,0,1021.9696,0.0186,-0.9599,0.0655,0.7500,135.0000,1
5256,0,1021.9708,0.0325,-0.7380,0.0603,0.7500,135.0000,1
5266,0,1021.9680,0.0361,-0.6709,0.0591,0.7500,135.0000,1
5276,0,1021.9671,0.0299,-0.5367,0.0446,0.7500,135.0000,1
5286,0,1021.9703,0.0289,-0.2375,0.0318,0.7500,135.0000,1
5296,0,1021.9624,0.0464,0.2529,0.0497,0.7500,135.0000,1
5306,0,1021.9632,0.0562,0.6451,0.0775,0.7500,135.0000,1
5316,0,1021.9629,0.0655,0.9754,0.1140,0.7500,135.0000,1
5326,0,1021.9478,0.1135,1.3418,0.2053,0.7500,135.0000,1
5336,0,1021.9618,0.1146,1.0941,0.1756,0.7500,135.0000,1
5346,0,1021.9589,0.1233,1.0477,0.1793,0.7500,135.0000,1
